Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
129,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280292,0.600618,0.47039,0.027929,0.1
130,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280288,0.600575,0.470363,0.0279451,0.1
131,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280286,0.600536,0.470339,0.0279282,0.1
132,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.28029,0.600493,0.470312,0.0279267,0.1
133,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280291,0.600442,0.47028,0.0279167,0.1
134,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280292,0.600408,0.470258,0.0279052,0.1
135,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280302,0.600387,0.470246,0.0279075,0.1
136,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280296,0.600361,0.470229,0.027919,0.1
137,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280294,0.600335,0.470213,0.0279052,0.1
138,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280296,0.6003,0.470191,0.0279159,0.1
139,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280295,0.600266,0.47017,0.0279021,0.1
140,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280296,0.600247,0.470158,0.0278767,0.1
141,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280292,0.600219,0.470141,0.0278767,0.1
142,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280291,0.600185,0.470119,0.0278837,0.1
143,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.28029,0.600149,0.470097,0.0278898,0.1
144,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280291,0.600124,0.470081,0.0278967,0.1
145,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.2803,0.600085,0.470057,0.027876,0.1
146,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280303,0.600051,0.470035,0.0278621,0.1
147,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280303,0.600031,0.470023,0.0278652,0.1
148,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280297,0.600008,0.470008,0.0278714,0.1
149,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280299,0.599984,0.469994,0.0278537,0.1
150,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280297,0.599952,0.469973,0.0278637,0.1
151,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280294,0.599924,0.469956,0.0278675,0.1
152,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280296,0.59989,0.469935,0.0278399,0.1
153,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280304,0.599864,0.469919,0.0278291,0.1
154,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280303,0.599837,0.469902,0.0278306,0.1
155,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280305,0.599813,0.469887,0.0278137,0.1
156,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280306,0.599788,0.469871,0.0278045,0.1
157,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280315,0.599764,0.469856,0.0277984,0.1
158,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280312,0.599745,0.469844,0.0278053,0.1
159,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280311,0.599724,0.469831,0.0278037,0.1
160,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280306,0.599678,0.469803,0.027813,0.1
161,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280309,0.599657,0.469789,0.0277999,0.1
