Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
89,RL,15,Light Heavy,-0.194216,Low,0,Low,0,Medium,1,High,2,3.22535,715.926,6.57497,0.0580965,0.199202
90,RL,34,Light Heavy,-0.879717,Low,0,High,4,Medium,1,High,2,3.25409,722.26,6.58377,0.0578652,0.199202
91,RL,15,Light Heavy,0.723124,Low,0,Low,0,Medium,1,High,2,3.2292,717.049,6.57654,0.0573795,0.199202
92,RL,15,Light Heavy,0.452757,Low,0,Low,0,Medium,1,High,2,3.21584,713.805,6.57201,0.0579106,0.199202
93,RL,34,Light Heavy,-1.04065,Low,0,High,4,Medium,1,High,2,3.25365,721.283,6.58242,0.0579513,0.199202
94,RL,15,Light Heavy,0.935221,Low,0,Low,0,Medium,1,High,2,3.21582,714.56,6.57306,0.0572604,0.199202
95,RL,34,Light Heavy,-1.23,Low,0,High,4,Medium,1,High,2,3.25941,723.415,6.58536,0.0575778,0.199202
96,RL,33,BSDF Heavy,0.47245,Medium-High,3,Medium-High,3,High,2,Low,0,3.24447,720.001,6.58064,0.0574833,0.199042
97,RL,121,BSDF Heavy,0.10128,Medium-High,3,Low-Medium,1,High,2,Low,0,3.25119,719.271,6.57963,0.0657527,0.199042
98,RL,120,BSDF Heavy,0.112104,Medium-High,3,Low,0,High,2,Low,0,3.24963,718.464,6.57851,0.0656213,0.199042
99,RL,123,BSDF Heavy,-0.245953,Medium-High,3,Medium-High,3,High,2,Low,0,3.25457,720.236,6.58097,0.065878,0.199042
100,RL,105,BSDF Heavy,0.57888,Medium-High,3,Low,0,High,2,Low,0,3.23796,716.073,6.57518,0.0658219,0.199042
101,RL,122,BSDF Heavy,-0.466299,Medium-High,3,Medium,2,High,2,Low,0,3.24741,719.424,6.57984,0.0656759,0.199042
102,RL,124,BSDF Heavy,-0.587702,Medium-High,3,High,4,High,2,Low,0,3.26571,723.671,6.58572,0.0663682,0.199042
103,RL,105,BSDF Heavy,1.08533,Medium-High,3,Low,0,High,2,Low,0,3.23644,715.848,6.57486,0.0657512,0.199042
104,RL,124,BSDF Heavy,-0.712967,Medium-High,3,High,4,High,2,Low,0,3.25652,720.977,6.58199,0.0660724,0.199042
105,RL,124,BSDF Heavy,0.0802517,Medium-High,3,High,4,High,2,Low,0,3.25895,720.398,6.58119,0.0659164,0.199042
106,RL,105,BSDF Heavy,0.601673,Medium-High,3,Low,0,High,2,Low,0,3.2309,716.071,6.57517,0.065576,0.199042
107,RL,124,BSDF Heavy,-0.785589,Medium-High,3,High,4,High,2,Low,0,3.25606,721.726,6.58303,0.0657612,0.199042
108,RL,124,BSDF Heavy,-0.285625,Medium-High,3,High,4,High,2,Low,0,3.27366,723.793,6.58589,0.0661508,0.199042
109,RL,124,BSDF Heavy,0.447512,Medium-High,3,High,4,High,2,Low,0,3.25263,720.557,6.58141,0.0657274,0.199042
110,RL,124,BSDF Heavy,0.0329494,Medium-High,3,High,4,High,2,Low,0,3.25584,720.319,6.58108,0.0660716,0.199042
111,RL,105,BSDF Heavy,1.05224,Medium-High,3,Low,0,High,2,Low,0,3.21986,712.769,6.57056,0.0657919,0.199042
112,RL,120,Balanced,-0.814295,Low,0,Low,0,High,2,High,2,3.24489,718.605,6.5787,0.0658365,0.198883
113,RL,79,Balanced,-0.747871,Low,0,High,4,High,2,High,2,3.2633,724.007,6.58618,0.0627234,0.198883
114,RL,79,Balanced,0.39258,Low,0,High,4,High,2,High,2,3.24874,721.166,6.58226,0.0626612,0.198883
115,RL,60,Balanced,0.510311,Low,0,Low,0,High,2,High,2,3.23868,717.49,6.57715,0.0628057,0.198883
116,RL,79,Balanced,-0.883675,Low,0,High,4,High,2,High,2,3.26227,723.868,6.58599,0.062645,0.198883
117,RL,60,Balanced,0.94142,Low,0,Low,0,High,2,High,2,3.2368,717.075,6.57657,0.0627872,0.198883
118,RL,79,Balanced,-0.683594,Low,0,High,4,High,2,High,2,3.25786,722.001,6.58341,0.0626089,0.198883
119,RL,60,Balanced,1.26791,Low,0,Low,0,High,2,High,2,3.21671,712.892,6.57073,0.0625536,0.198883
120,RL,79,Balanced,-1.35894,Low,0,High,4,High,2,High,2,3.25558,722.659,6.58432,0.0627227,0.198883
121,RL,79,Balanced,-0.401592,Low,0,High,4,High,2,High,2,3.27563,725.571,6.58834,0.0631161,0.198883
122,RL,60,Balanced,0.971937,Low,0,Low,0,High,2,High,2,3.23742,718.544,6.57862,0.062267,0.198883
123,RL,79,Balanced,-0.832653,Low,0,High,4,High,2,High,2,3.26661,724.56,6.58694,0.062967,0.198883
124,RL,60,Balanced,0.84939,Low,0,Low,0,High,2,High,2,3.23883,718.424,6.57845,0.0628118,0.198883
125,RL,60,Balanced,0.27771,Low,0,Low,0,High,2,High,2,3.23367,716.428,6.57567,0.0628226,0.198883
126,RL,75,Balanced,-0.265169,Low,0,Low,0,High,2,High,2,3.24111,718.333,6.57832,0.0625413,0.198883
127,RL,79,Balanced,-0.276041,Low,0,High,4,High,2,High,2,3.24939,720.322,6.58109,0.0627434,0.198883
128,RL,61,BSDF Heavy,0.180674,Low-Medium,1,Low-Medium,1,Medium,1,Medium,1,3.23944,719.02,6.57928,0.0626158,0.198724
129,RL,120,BSDF Heavy,0.0780106,Low-Medium,1,Low,0,Medium,1,Medium,1,3.24559,718.458,6.5785,0.0658557,0.198724
130,RL,123,BSDF Heavy,-0.200081,Low-Medium,1,Medium-High,3,Medium,1,Medium,1,3.24835,719.899,6.5805,0.0661331,0.198724
131,RL,120,BSDF Heavy,0.349569,Low-Medium,1,Low,0,Medium,1,Medium,1,3.24095,717.383,6.577,0.0657773,0.198724
132,RL,122,BSDF Heavy,-0.280666,Low-Medium,1,Medium,2,Medium,1,Medium,1,3.25016,719.403,6.57981,0.0660432,0.198724
133,RL,124,BSDF Heavy,-0.248909,Low-Medium,1,High,4,Medium,1,Medium,1,3.2546,721.198,6.5823,0.0657519,0.198724
134,RL,124,BSDF Heavy,0.0267506,Low-Medium,1,High,4,Medium,1,Medium,1,3.25745,721.005,6.58203,0.0658933,0.198724
135,RL,124,BSDF Heavy,-0.0981331,Low-Medium,1,High,4,Medium,1,Medium,1,3.258,721.714,6.58301,0.0658334,0.198724
136,RL,120,BSDF Heavy,0.51899,Low-Medium,1,Low,0,Medium,1,Medium,1,3.24458,717.973,6.57782,0.0656374,0.198724
137,RL,105,BSDF Heavy,0.462437,Low-Medium,1,Low,0,Medium,1,Medium,1,3.22952,714.656,6.5732,0.0658903,0.198724
138,RL,120,BSDF Heavy,-0.31004,Low-Medium,1,Low,0,Medium,1,Medium,1,3.24069,716.878,6.5763,0.0658526,0.198724
139,RL,124,BSDF Heavy,-0.908518,Low-Medium,1,High,4,Medium,1,Medium,1,3.26411,723.429,6.58538,0.0657051,0.198724
140,RL,105,BSDF Heavy,1.01013,Low-Medium,1,Low,0,Medium,1,Medium,1,3.238,716.149,6.57528,0.0660709,0.198724
141,RL,105,BSDF Heavy,-0.115919,Low-Medium,1,Low,0,Medium,1,Medium,1,3.23748,716.981,6.57644,0.0658887,0.198724
142,RL,124,BSDF Heavy,-0.97332,Low-Medium,1,High,4,Medium,1,Medium,1,3.26894,724.003,6.58618,0.0657896,0.198724
143,RL,120,BSDF Heavy,0.861979,Low-Medium,1,Low,0,Medium,1,Medium,1,3.24298,717.78,6.57756,0.0656713,0.198724
144,RL,122,BSDF Heavy,-0.231981,Medium,2,Medium,2,High,2,High,2,3.25468,719.45,6.57988,0.0659702,0.198565
145,RL,122,BSDF Heavy,-0.0295162,Medium,2,Medium,2,High,2,High,2,3.2513,719.662,6.58017,0.065566,0.198565
146,RL,124,BSDF Heavy,-0.329685,Medium,2,High,4,High,2,High,2,3.2589,722.042,6.58347,0.0658711,0.198565
147,RL,124,BSDF Heavy,0.152683,Medium,2,High,4,High,2,High,2,3.25556,720.939,6.58194,0.0660409,0.198565
148,RL,124,BSDF Heavy,-0.00815392,Medium,2,High,4,High,2,High,2,3.25544,720.998,6.58202,0.0661054,0.198565
149,RL,124,BSDF Heavy,0.0279427,Medium,2,High,4,High,2,High,2,3.25389,720.796,6.58174,0.0654691,0.198565
150,RL,124,BSDF Heavy,-0.623131,Medium,2,High,4,High,2,High,2,3.27456,725.308,6.58797,0.0661623,0.198565
151,RL,124,BSDF Heavy,0.465775,Medium,2,High,4,High,2,High,2,3.26464,721.933,6.58332,0.0663198,0.198565
152,RL,124,BSDF Heavy,-0.0123978,Medium,2,High,4,High,2,High,2,3.2595,722.023,6.58344,0.0659179,0.198565
153,RL,105,BSDF Heavy,0.847197,Medium,2,Low,0,High,2,High,2,3.23475,715.923,6.57497,0.0654768,0.198565
154,RL,124,BSDF Heavy,-0.702572,Medium,2,High,4,High,2,High,2,3.25404,720.978,6.58199,0.0655959,0.198565
155,RL,124,BSDF Heavy,-0.379753,Medium,2,High,4,High,2,High,2,3.27033,723.724,6.58579,0.0661239,0.198565
156,RL,124,BSDF Heavy,0.186634,Medium,2,High,4,High,2,High,2,3.2569,722.373,6.58393,0.0660201,0.198565
157,RL,123,BSDF Heavy,0.343895,Medium,2,Medium-High,3,High,2,High,2,3.24823,719.89,6.58049,0.0655821,0.198565
158,RL,124,BSDF Heavy,-0.37508,Medium,2,High,4,High,2,High,2,3.2599,722.599,6.58424,0.0658196,0.198565
159,RL,124,BSDF Heavy,0.173759,Medium,2,High,4,High,2,High,2,3.25933,721.342,6.5825,0.065984,0.198565
160,RL,121,BSDF Heavy,0.309038,Low-Medium,1,Low-Medium,1,High,2,High,2,3.24703,719.114,6.57941,0.0656905,0.198406
161,RL,120,BSDF Heavy,0.0518799,Low-Medium,1,Low,0,High,2,High,2,3.2429,718.74,6.57889,0.0658219,0.198406
162,RL,120,BSDF Heavy,0.00357628,Low-Medium,1,Low,0,High,2,High,2,3.24605,718.715,6.57885,0.0655798,0.198406
163,RL,124,BSDF Heavy,-0.63591,Low-Medium,1,High,4,High,2,High,2,3.26644,723.306,6.58521,0.0659494,0.198406
164,RL,124,BSDF Heavy,-0.124645,Low-Medium,1,High,4,High,2,High,2,3.27401,724.209,6.58646,0.0665304,0.198406
165,RL,105,BSDF Heavy,1.04671,Low-Medium,1,Low,0,High,2,High,2,3.23405,716.658,6.57599,0.0655952,0.198406
166,RL,124,BSDF Heavy,-1.00198,Low-Medium,1,High,4,High,2,High,2,3.26593,723.885,6.58601,0.0656928,0.198406
167,RL,105,BSDF Heavy,0.869036,Low-Medium,1,Low,0,High,2,High,2,3.23576,717.613,6.57732,0.0654407,0.198406
168,RL,124,BSDF Heavy,-1.1682,Low-Medium,1,High,4,High,2,High,2,3.27439,726.057,6.589,0.0658772,0.198406
